Empresa,Año,Activos_Millones,Capital_Accs_Millones,Ingresos_Millones,Ingreso_%_cambio_Año_Anterior,Utilidad_Millones,Utilidad_%_Ventas,Utilidad_%_Año_Anterior,Utilidad_%_Activos,Valor_Mercado_Millones,Cambio_%_Valor_Mercado,Empleados,Ventas_empleado,Resultados_Empleado,ROE,Rotación_Activos,Multiplicador_Capital,Industria,Vía de desarrollo
Borgwarner,2016,8835,3301.9,9071,13.05962708,595,6.559365009,-2.411021814,6.734578381,8400,-11.39240506,27000,335962.963,22037.03704,0.180199279,1.026711941,2.675732154,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2017,9788,3825.9,9799,8.025576011,440,4.490254108,-26.05042017,4.495300368,10770,28.21428571,29000,337896.5517,15172.41379,0.11500562,1.001123825,2.558352283,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2018,10095,4345,10530,7.459944892,931,8.841405508,111.5909091,9.22238732,7230,-32.86908078,30000,351000,31033.33333,0.214269275,1.043090639,2.323360184,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2019,9702,4844,10168,-3.437796771,746,7.336742722,-19.87110634,7.689136261,8950,23.78976487,29000,350620.6897,25724.13793,0.154004955,1.048031334,2.002890173,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2020,16029,6724,10165,-0.029504327,500,4.918839154,-32.97587131,3.119346185,9440,5.474860335,49700,204527.163,10060.36217,0.0743605,0.634163079,2.383848899,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2021,16575,7262,14838,45.97147073,537,3.61908613,7.4,3.239819005,10800,14.40677966,49300,300973.6308,10892.49493,0.073946571,0.89520362,2.282429083,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2022,16994,7508,12635,-14.84701442,944,7.471309854,75.79143389,5.55490173,9420,-12.77777778,49300,256288.0325,19148.07302,0.125732552,0.743497705,2.263452318,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2023,14453,5828,14198,12.37039968,625,4.402028455,-33.79237288,4.324361724,8420,-10.61571125,39900,355839.599,15664.1604,0.107240906,0.982356604,2.479924502,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2024,13993,5532,14086,-0.788843499,338,2.399545648,-45.92,2.415493461,7030,-16.50831354,38300,367780.6789,8825.065274,0.06109906,1.00664618,2.529464931,Autopartes electrónicas,Neoliberal predominante
Brembo,2011,1727.72852,458.79591,1743.77307,21.9349112,58.98743,3.38274693,37.43438731,3.414160808,4300,0,6735,258912.1114,8758.3415,0.128570087,1.009286499,3.765788845,Autopartes,Neoliberal predominante
